"Time (s)","Sound pressure level (dB)"
4.513071654E1,-6.178751597E1
4.523851454E1,-6.489703363E1
4.534723471E1,-6.324693095E1
4.545511171E1,-6.426448933E1
4.556369729E1,-6.663406555E1
4.567161687E1,-6.659582440E1
4.578045712E1,-6.611902795E1
4.588843967E1,-6.991699630E1
4.599286954E1,-6.644035912E1
4.610165287E1,-6.999917007E1
4.621068571E1,-6.889119780E1
4.631919637E1,-7.072717903E1
4.642497517E1,-7.010199375E1
4.653375458E1,-7.118304019E1
4.663824704E1,-7.235082025E1
4.674501229E1,-7.239287552E1
4.685361100E1,-7.050928522E1
4.696225779E1,-7.188076656E1
4.706580533E1,-7.155516402E1
4.717169921E1,-7.319569446E1
4.728025171E1,-7.291822945E1
4.738839354E1,-7.284263631E1
4.749728296E1,-7.257528347E1
4.760500325E1,-7.278334584E1
4.771391283E1,-7.470642387E1
4.782173383E1,-7.244847499E1
4.793042971E1,-7.353713078E1
4.803834987E1,-7.271375637E1
4.814394608E1,-7.447193080E1
4.825250362E1,-7.496963404E1
4.836135625E1,-7.482605235E1
4.846669142E1,-7.310303710E1
4.857162058E1,-7.662545361E1
4.868039700E1,-7.390526734E1
4.878837767E1,-7.493335914E1
4.889700604E1,-7.454867122E1
4.900497321E1,-7.254532639E1
4.911194617E1,-7.441713598E1
4.922066729E1,-7.413287914E1
4.932939063E1,-7.184261509E1
4.943837854E1,-7.444103261E1
4.954691250E1,-7.455822176E1
4.965479754E1,-7.361952838E1
4.976328733E1,-7.404957682E1
4.987161408E1,-7.504010628E1
4.997689975E1,-7.621957728E1
5.008549783E1,-7.515732687E1
5.019452987E1,-7.500813047E1
5.030263975E1,-7.548718486E1
5.040800571E1,-6.666296024E1
5.051668113E1,-6.911853903E1
5.062160279E1,-7.331777382E1
5.073042200E1,-7.498685101E1
5.083810267E1,-3.477692472E1
5.094501179E1,-3.618815994E1
5.105353400E1,-3.706473253E1
5.116250983E1,-3.772182418E1
5.127120779E1,-3.795968785E1
5.137990579E1,-3.898737090E1
5.148823042E1,-3.929895578E1
5.159692329E1,-4.050551885E1
5.170484662E1,-4.122936429E1
5.181340042E1,-4.225832934E1
5.192145596E1,-4.306166365E1
5.203013500E1,-4.410593533E1
5.213796450E1,-4.543522687E1
5.224331400E1,NaN
5.234946754E1,-4.674677098E1
5.245480925E1,-4.808784491E1
5.256153225E1,-4.758929662E1
5.267029233E1,-4.876451328E1
5.277601650E1,-4.933394563E1
5.288479308E1,-4.978503476E1
5.299371025E1,-5.088375037E1
5.310227100E1,-5.136945102E1
5.321116475E1,-5.274908841E1
5.331758408E1,-5.243678759E1
5.342641825E1,-5.478948214E1
5.353527608E1,-5.334406107E1
5.364428329E1,-5.624842034E1
5.375286571E1,-5.634727311E1
5.386164279E1,-5.772865983E1
5.397032471E1,-5.698005651E1
5.407534146E1,-5.920886304E1
5.418436221E1,-5.855084153E1
5.429313904E1,-6.130478261E1
5.439902450E1,-5.923280493E1
5.450469692E1,-6.262901305E1
5.461332283E1,-6.059830082E1
5.472141700E1,-6.319465955E1
5.483019425E1,-6.390213176E1
5.493805079E1,-6.263267721E1
5.504607479E1,-6.349009079E1
5.515448487E1,-6.711661100E1
5.526030987E1,-6.565658421E1
5.536891554E1,-6.715915963E1
5.547783508E1,-6.596910548E1
5.558651571E1,-6.850956540E1
5.569542846E1,-6.863809597E1
5.580240492E1,-6.876440315E1
5.591124217E1,-7.160014932E1
5.601720346E1,-6.796052702E1
5.612130662E1,-7.235800750E1
5.623012662E1,-6.967461257E1
5.633791808E1,-7.288142518E1
5.644645075E1,-7.169479297E1
5.655450975E1,-7.193860780E1
5.665848933E1,-7.306598168E1
5.676718771E1,-7.349812059E1
5.687104000E1,-7.198763678E1
5.697974992E1,-7.410133010E1
5.708784683E1,-7.029255931E1
5.719387004E1,-7.130278704E1
5.729855554E1,-7.443092034E1
5.740442821E1,-7.144618531E1
5.751339208E1,-7.390089311E1
5.762126329E1,-7.168641810E1
5.772529917E1,-7.288690826E1
5.783389904E1,-7.401940346E1
5.794254558E1,-7.347794883E1
5.805133621E1,-7.298701156E1
5.816002362E1,-7.293789576E1
5.826864150E1,-7.375489924E1
5.837748317E1,-7.441277022E1
5.848616700E1,-7.363742194E1
5.859497483E1,-7.537607677E1
5.870373504E1,-7.320006351E1
5.880805562E1,-7.464485975E1
5.891669633E1,-7.406379866E1
5.902106608E1,-7.546599290E1
5.912985646E1,-7.424179252E1
5.923776612E1,-7.536174926E1
5.934659529E1,-7.498431773E1
5.945454246E1,-7.506187226E1
5.956152883E1,-7.446397787E1
5.967027704E1,-7.610579243E1
5.977601679E1,-7.278945507E1
5.988470233E1,-7.458232712E1
5.999362433E1,-7.555244026E1
6.010225992E1,-7.392497138E1
6.021130604E1,-7.535591044E1
6.031992608E1,-7.376217632E1
6.042643942E1,-6.718423621E1
6.053378042E1,-7.150193923E1
6.063774013E1,-7.071967814E1
6.074634000E1,-4.104765512E1
6.085415721E1,-4.326863328E1
6.096271908E1,-4.432510012E1
6.107092354E1,-4.463628657E1
6.117948475E1,-4.463057237E1
6.128771192E1,-4.541103574E1
6.139651846E1,-4.552123229E1
6.150426354E1,-4.642884366E1
6.161313992E1,-4.674604603E1
6.172099746E1,-4.753847236E1
6.182980779E1,-4.747374523E1
6.193758083E1,-4.857512736E1
6.204621625E1,-4.911638001E1
6.215431246E1,-4.992414850E1
6.226111771E1,-4.946324042E1
6.236979275E1,-5.083419456E1
6.247865737E1,-5.046795848E1
6.258736562E1,-5.159215388E1
6.269205471E1,-5.187832837E1
6.280068642E1,-5.279738097E1
6.290975996E1,-5.314644486E1
6.301713454E1,-5.416090266E1
6.312254488E1,-5.490243605E1
6.322921892E1,-5.491913151E1
6.333748371E1,-5.574889200E1
6.344608992E1,-5.802594105E1
6.355404092E1,-5.754054448E1
6.366287538E1,-5.861261595E1
6.377072346E1,-5.913118457E1
6.387935387E1,-5.958719836E1
6.398763654E1,-6.059182074E1
6.409632500E1,-6.066552327E1
6.420418408E1,-6.245580371E1
6.431297508E1,-6.156987529E1
6.442072804E1,-6.417041093E1
6.452659500E1,-6.263243506E1
6.463522121E1,-6.484399411E1
6.474424167E1,-6.494783519E1
6.485267979E1,-6.682368923E1
6.496150954E1,-6.559596723E1
6.507023975E1,-6.830142058E1
6.517696375E1,-6.730722085E1
6.528648167E1,-6.834422545E1
6.539529396E1,-6.783142862E1
6.550399500E1,-7.014297071E1
6.561267767E1,-6.960056269E1
6.572072779E1,-7.014649102E1
6.582950192E1,-7.082760206E1
6.593741546E1,-7.088439488E1
6.604467513E1,-7.342535884E1
6.615181333E1,-7.169580335E1
6.625906108E1,-7.280732293E1
6.636759421E1,-7.301423505E1
6.647638775E1,-7.323859008E1
6.658507942E1,-7.298810365E1
6.669388962E1,-7.322366463E1
6.680255650E1,-7.290936147E1
6.691141992E1,-7.505687117E1
6.701724204E1,-7.269336386E1
6.712281475E1,-7.447062422E1
6.723160633E1,-7.462429522E1
6.733744837E1,-7.511113079E1
6.744598725E1,-7.249277973E1
6.755387708E1,-7.599600170E1
6.766249279E1,-7.302777851E1
6.777045967E1,-7.613950703E1
6.787735117E1,-7.588095266E1
6.798286883E1,-7.389966971E1
6.808720571E1,-7.434659050E1
6.819144342E1,-7.405501377E1
6.829853504E1,-7.470604424E1
6.840388375E1,-7.280483873E1
6.851266650E1,-7.018603470E1
6.862061092E1,-7.058360276E1
6.872941596E1,-7.348379918E1
6.883725875E1,-7.282999952E1
6.894619904E1,-6.999684333E1
6.905377454E1,-7.444237479E1
6.916245558E1,-7.309573687E1
6.927064388E1,-7.478186986E1
6.937948925E1,-7.383491852E1
6.948719771E1,-7.269673481E1
6.959603042E1,-7.591956973E1
6.970382625E1,-7.377048850E1
6.981249792E1,-7.227505941E1
6.992044542E1,-7.418764004E1
7.002928000E1,-7.033082716E1
7.013712067E1,-6.980924006E1
7.024592704E1,-6.964901858E1
7.035380483E1,-6.980619986E1
7.046252154E1,-7.285202977E1
7.057045387E1,-3.493336256E1
7.067930821E1,-3.663209525E1
7.078712883E1,-4.306168307E1
7.089582533E1,-4.432799676E1
7.100374238E1,-4.511816721E1
7.110824417E1,-4.514116419E1
7.121690942E1,-4.610603089E1
7.132575804E1,-4.595908269E1
7.143444487E1,-4.678878952E1
7.154320858E1,-4.711779294E1
7.165173704E1,-4.812930258E1
7.176073258E1,-4.822625150E1
7.186935375E1,-4.906962545E1
7.197690442E1,-4.944253042E1
7.208559308E1,-5.011278573E1
7.219203458E1,-5.018781663E1
7.230062492E1,-5.113256197E1
7.240644192E1,-5.097374274E1
7.251509479E1,-5.170924669E1
7.262036250E1,-5.236266522E1
